DMA,Total Population,Total Female GenZ,City_Size,Real_GenZ_Percentage,Index_vs_National
Tulsa,1399780,130982,Very Large (1M-2M),9.357327580048294,97.4207572286186
Twin Falls,215113,20507,Medium (100K-500K),9.533129099589518,99.25105728054426
Tyler-Longview(Lfkn&Ncgd),610211,60548,Large (500K-1M),9.922469440898313,103.30454697035971
Utica,262673,23600,Medium (100K-500K),8.984554940934165,93.53975675429069
Victoria,99347,9549,Small (<100K),9.611764824302696,100.06974742270765
Waco-Temple-Bryan,1184360,146847,Very Large (1M-2M),12.398848323144989,129.08655618502337
"Washington, DC (Hagrstwn)",7507735,720988,Metropolitan (>2M),9.603269161737861,99.98129760911024
Watertown,247687,24933,Medium (100K-500K),10.066333719573493,104.80234287915835
Wausau-Rhinelander,398087,32032,Medium (100K-500K),8.046482301607437,83.77332012194326
West Palm Beach-Ft. Pierce,2234142,173358,Metropolitan (>2M),7.7594888776093915,80.78538190493158
Wheeling-Steubenville,302091,23977,Medium (100K-500K),7.937012357203624,82.63360958104765
Wichita Falls & Lawton,391914,37617,Medium (100K-500K),9.598279214317426,99.9293464027352
Wichita-Hutchinson Plus,1195381,115255,Very Large (1M-2M),9.641695827522772,100.38136427841431
Wilkes Barre-Scranton-Hztn,1419972,123192,Very Large (1M-2M),8.675664027178001,90.32383998085974
Wilmington,620474,53318,Large (500K-1M),8.593107849805149,89.46433332740966
Yakima-Pasco-Rchlnd-Knnwck,818528,83464,Large (500K-1M),10.196841158763048,106.1610784199471
Youngstown,553492,45119,Large (500K-1M),8.151698669538131,84.86874594186526
Yuma-El Centro,384373,37700,Medium (100K-500K),9.808181115739139,102.11467143333807
Zanesville,62857,5551,Small (<100K),8.831156434446443,91.94269834932078
