DMA,Total Population,Total Female GenZ,GenZ Female %,Real_GenZ_Percentage,Index_vs_National
Monterey-Salinas,624223,64657,0.09721014273170732,10.357997061947414,107.83890042476376
San Antonio,2794006,288872,0.0940018788375,10.338989966378024,107.64101426258273
Atlanta,7616406,781563,0.09948883117684887,10.261572190348046,106.83500439499218
Champaign&Sprngfld-Decatur,905938,92666,0.08099515131603773,10.228735299766651,106.4931338429455
Dallas-Ft. Worth,9042742,924629,0.09368714132242992,10.225095441183658,106.45523864516313
Yakima-Pasco-Rchlnd-Knnwck,818528,83464,0.09338680330508475,10.196841158763048,106.1610784199471
Indianapolis,3211430,327413,0.09260876309963101,10.195240126672541,106.14440979770745
Madison,1037872,105775,0.08627070619354839,10.191526508085776,106.10574667175766
Houston,8020787,817347,0.09688264263043478,10.190359125607001,106.0935928506923
Eugene,709179,72259,0.07745305135,10.189105994396337,106.08054628473582
"Columbia, SC",1113997,113416,0.08906220424691358,10.180996896760044,105.9961210655255
Los Angeles,18151504,1844169,0.10088078689925373,10.159868846129775,105.77615327305938
Baton Rouge,921770,93629,0.09942883795604394,10.157523026351475,105.75173053727625
"Columbus, OH",2725245,275955,0.09164560126923077,10.12587859073221,105.42227484025926
Monroe-El Dorado,437113,44105,0.0851440565131579,10.090068243223147,105.04944711342073
Birmingham (Ann and Tusc),2097879,211399,0.09280289243612336,10.076796612197366,104.9112738654362
San Diego,3229836,325395,0.10748950448076923,10.074660137542587,104.88903065797255
Watertown,247687,24933,0.08452972235897437,10.066333719573493,104.80234287915835
Columbus-Tupelo-West Point,443426,44545,0.08815684563636364,10.0456445945885,104.58694481756513
Roanoke-Lynchburg,1065540,106678,0.07789510038636363,10.011637291889558,104.23288890235938
Nashville,3191224,319460,0.08693224089711933,10.010579012942996,104.2218709770542
Raleigh-Durham (Fayetvlle),3326007,332899,0.09276135355491329,10.008968712332836,104.20510585865202
Lincoln & Hastings-Krny,742358,74122,0.07460891286119874,9.984670468965108,103.95213264082253
Fargo,643401,64162,0.07148123347038328,9.972318973703802,103.82353908556132
Ottumwa-Kirksville,141124,14061,0.07807564511940299,9.963578129871602,103.73253664734747
Johnstown-Altoona-St Colge,653641,65126,0.07810431426111111,9.963573276462157,103.73248611766161
Des Moines-Ames,1183381,117828,0.08148358716842105,9.956894694101054,103.6629542406095
Amarillo,551300,54869,0.08186854725396826,9.95265735534192,103.618838573287
Lexington,1233795,122698,0.08601058098857142,9.944763919451773,103.53665864584775
San Angelo,144413,14344,0.07843308702941176,9.932623794256749,103.41026570093565
Montgomery-Selma,539192,53504,0.0917827447375,9.922995890146739,103.31002792461565
Tyler-Longview(Lfkn&Ncgd),610211,60548,0.08883681994736842,9.922469440898313,103.30454697035971
Grand Rapids-Kalmzoo-B.Crk,2101484,207916,0.08911192228025477,9.893770307078237,103.00575532021821
Peoria-Bloomington,597268,59031,0.081565300425,9.883502883127843,102.89885939213642
Memphis,1821175,179650,0.08955169578089887,9.864510549507873,102.70112691916613
Fairbanks,101638,10003,0.10130528715384615,9.841791455951514,102.46459450338028
Greensboro-H.Point-W.Salem,1894927,186479,0.09191787497014925,9.840959572585119,102.45593362165025
Yuma-El Centro,384373,37700,0.09307268782352941,9.808181115739139,102.11467143333807
Abilene-Sweetwater,261606,25591,0.07705508452857142,9.782267990795319,101.84488540387713
Denver,4954077,483539,0.08011481206666667,9.760425605011791,101.61748054447604
Corpus Christi,588687,57413,0.08657584359649122,9.752720885631923,101.53726537729293
La Crosse-Eau Claire,458750,44478,0.07784979480612245,9.695476839237058,100.94128770109091
Chicago,9605182,930439,0.0926171883673966,9.686844038978126,100.85141012322119
Boston (Manchester),6982093,675982,0.08694617964870259,9.681652765152226,100.79736287278843
Phoenix (Prescott),5971538,576753,0.08755703655982906,9.658366069176818,100.55492104996348
Toledo,1001953,96737,0.087037896552,9.65484408949322,100.51825310980806
Odessa-Midland,488456,47150,0.087781063,9.652865355323714,100.49765216584213
"Jackson, MS",800747,77224,0.09594639426966291,9.64399491974369,100.40530052550882
Wichita-Hutchinson Plus,1195381,115255,0.0768683019212828,9.641695827522772,100.38136427841431
Kansas City,2564314,247125,0.08802590345794394,9.637080326356289,100.3333114968074
New Orleans,1801181,173525,0.0918199556484375,9.633956831656564,100.30079225279852
"Albany, GA",413757,39851,0.08796212768333334,9.631498681593301,100.27520002697376
