DMA,2024 Females Age 15-19,2024 Females Age 20-24,2024 Females Age 25-29,Total Female GenZ,Total Population,Age_15_19_Percentage,Age_20_24_Percentage,Age_25_29_Percentage,GenZ_Concentration,GenZ_Index,Age_Variance,Region
Charleston-Huntington,29953,29030,26630,85613,1024601,34.98650905820378,33.90840176141474,31.105089180381484,8.355740429689215,86.99306002728451,4.014382839720524,Other
Charlotte,120127,120135,114457,354719,3716074,33.86539768098128,33.867652987294164,32.26694933172455,9.545531116979909,99.38017683043697,0.8528824007670137,Carolinas
Charlottesville,8015,9871,6935,24821,208199,32.29120502800048,39.7687442085331,27.940050763466417,11.921767155461842,124.11958156351868,35.79402070792282,Carolinas
Chattanooga,31940,33868,32470,98278,1071501,32.49964386739657,34.4614257514398,33.03893038116364,9.171993306585808,95.49121002545891,1.0271518638247226,Other
Cheyenne-Scottsbluff,3903,3872,3779,11554,130012,33.78050891466159,33.51220356586463,32.70728751947377,8.886871981047904,92.52276254958389,0.31194696083657114,Other
Chicago,293712,309094,327633,930439,9605182,31.567034485871726,33.220232599880276,35.21273291424801,9.686844038978126,100.85141012322119,3.332373089597037,Illinois
Chico-Redding,13786,15469,12639,41894,440720,32.90686017090753,36.924141881892396,30.168997947200076,9.505808676710837,98.96661962867427,11.54440191330471,Other
Cincinnati,87360,89594,80387,257341,2696521,33.94717514892691,34.8152840006062,31.23754085046689,9.543445053830473,99.35845846588188,3.482662843020601,Other
Clarksburg-Weston,5393,5266,4603,15262,189365,35.33612894771328,34.503996854933824,30.159874197352902,8.059567501914293,83.9095524074411,7.726243120761632,Other
Cleveland-Akron (Canton),114404,121153,115622,351179,3917055,32.57711879127169,34.49893074471993,32.923950464008385,8.965383432195871,93.34015885814757,1.049036046376682,Ohio
Colorado Springs-Pueblo,29751,32536,32961,95248,999740,31.235301528641024,34.15924743826642,34.605451033092564,9.527277092043931,99.19013101698006,3.351077502134302,Rocky Mountains
"Columbia, SC",39154,40098,34164,113416,1113997,34.52246596600127,35.35480002821471,30.122734005784018,10.180996896760044,105.9961210655255,7.904156029325269,Other
Columbia-Jefferson City,22149,25395,18162,65706,619346,33.70925029677655,38.64943840745138,27.641311295772077,10.608932648309668,110.45143425238595,30.40070079927549,Other
"Columbus, GA (Opelika, AL)",22120,28080,22242,72442,662947,30.534772645702766,38.76204411805306,30.70318323624417,10.927268695687589,113.76568594694535,22.110266119850856,Ohio
"Columbus, OH",84983,100591,90381,275955,2725245,30.795963109927342,36.451957746734074,32.752079143338584,10.12587859073221,105.42227484025926,8.250961157936468,Ohio
