DMA,Total Population,Total Female GenZ,Zip,Real_GenZ_Percentage,Index_vs_National,ZIP_Count,Concentration_Level
"Jackson, TN",294706,26314,58,8.92889863117819,92.96030927908009,58,Media-Baja (90-99)
Jacksonville,2111025,190679,98,9.032531590104332,94.03924995376094,98,Media-Baja (90-99)
Johnstown-Altoona-St Colge,653641,65126,180,9.963573276462157,103.73248611766161,180,Media (100-109)
Jonesboro,212841,22112,38,10.388975808232438,108.16142551488835,38,Media (100-109)
Joplin-Pittsburg,456805,43267,121,9.47165639605521,98.6110543228652,121,Media-Baja (90-99)
Juneau,55658,4848,5,8.710338136476338,90.68483813499878,5,Media-Baja (90-99)
Kansas City,2564314,247125,321,9.637080326356289,100.3333114968074,321,Media (100-109)
Knoxville,1503459,133190,153,8.858904699097216,92.23159033594122,153,Media-Baja (90-99)
La Crosse-Eau Claire,458750,44478,98,9.695476839237058,100.94128770109091,98,Media (100-109)
"Lafayette, IN",120544,14168,11,11.753384656225114,122.36652221624671,11,Alta (120-129)
"Lafayette, LA",720861,66799,60,9.266557630389215,96.4757355700581,60,Media-Baja (90-99)
Lake Charles,235584,22296,25,9.464140179299104,98.53280168912868,25,Media-Baja (90-99)
Lansing,658069,73145,65,11.115095833415644,115.72118679149916,65,Media-Alta (110-119)
Laredo,286005,34169,10,11.946993933672488,124.38222191833104,10,Alta (120-129)
Las Vegas,2429777,227686,76,9.37065417937531,97.55950276110251,76,Media-Baja (90-99)
Lexington,1233795,122698,175,9.944763919451773,103.53665864584775,175,Media (100-109)
Lima,101646,8818,11,8.675206107471027,90.3190724995226,11,Media-Baja (90-99)
Lincoln & Hastings-Krny,742358,74122,317,9.984670468965108,103.95213264082253,317,Media (100-109)
Little Rock-Pine Bluff,1432694,135224,245,9.438442542510822,98.26525914415694,245,Media-Baja (90-99)
Los Angeles,18151504,1844169,536,10.159868846129775,105.77615327305938,536,Media (100-109)
Louisville,1895697,171889,203,9.067324577714688,94.40148577058474,203,Media-Baja (90-99)
Lubbock,472532,55703,67,11.788196354955854,122.72895283778382,67,Alta (120-129)
Macon,767220,72304,97,9.424154740491646,98.1165063640567,97,Media-Baja (90-99)
Madison,1037872,105775,124,10.191526508085776,106.10574667175766,124,Media (100-109)
Mankato,109697,13592,20,12.390493814780715,128.9995759522424,20,Alta (120-129)
Marquette,212187,17933,70,8.451507396777371,87.99010649930385,70,Baja (<90)
Medford-Klamath Falls,478393,36531,71,7.636190328871868,79.50169937052819,71,Baja (<90)
Memphis,1821175,179650,178,9.864510549507873,102.70112691916613,178,Media (100-109)
Meridian,144476,13740,37,9.510230072814863,99.01265154887554,37,Media-Baja (90-99)
Miami-Ft. Lauderdale,4791859,426731,141,8.905332982460461,92.71496323096696,141,Media-Baja (90-99)
Milwaukee,2411104,226801,166,9.40652083029185,97.93291667246264,166,Media-Baja (90-99)
Minneapolis-St. Paul,5166592,482447,587,9.337818817510653,97.21764812479043,587,Media-Baja (90-99)
Missoula,342271,29230,58,8.540016536604037,88.91159047534342,58,Baja (<90)
Mobile-Pensacola (Ft Walt),1549864,139732,141,9.015758802062633,93.8646255540187,141,Media-Baja (90-99)
Monroe-El Dorado,437113,44105,76,10.090068243223147,105.04944711342073,76,Media (100-109)
Monterey-Salinas,624223,64657,41,10.357997061947414,107.83890042476376,41,Media (100-109)
Montgomery-Selma,539192,53504,80,9.922995890146739,103.31002792461565,80,Media (100-109)
Myrtle Beach-Florence,709316,61482,49,8.667786994794985,90.24183083317274,49,Media-Baja (90-99)
Nashville,3191224,319460,243,10.010579012942996,104.2218709770542,243,Media (100-109)
New Orleans,1801181,173525,128,9.633956831656564,100.30079225279852,128,Media (100-109)
New York,22164623,2117855,1059,9.555114021113736,99.47994610421522,1059,Media-Baja (90-99)
Norfolk-Portsmth-Newpt Nws,2028761,194861,185,9.604926356529923,99.99855095095778,185,Media-Baja (90-99)
North Platte,34008,2869,11,8.436250294048458,87.83126216172454,11,Baja (<90)
Odessa-Midland,488456,47150,39,9.652865355323714,100.49765216584213,39,Media (100-109)
Oklahoma City,2035395,211150,285,10.373907767288413,108.00454953227889,285,Media (100-109)
Omaha,1212981,115618,218,9.531723909937584,99.23642760783375,218,Media-Baja (90-99)
Orlando-Daytona Bch-Melbrn,4926980,444291,188,9.017511741472465,93.88287570965564,188,Media-Baja (90-99)
Ottumwa-Kirksville,141124,14061,67,9.963578129871602,103.73253664734747,67,Media (100-109)
Paducah-Cape Girard-Harsbg,960295,86790,251,9.03784774470345,94.09459735954105,251,Media-Baja (90-99)
Palm Springs,439646,37070,16,8.431783753292422,87.78476023273646,16,Baja (<90)
Panama City,488118,37663,49,7.715962123912661,80.33221733753089,49,Baja (<90)
Parkersburg,127928,10574,20,8.265586892627102,86.05445594697466,20,Baja (<90)
Peoria-Bloomington,597268,59031,120,9.883502883127843,102.89885939213642,120,Media (100-109)
Philadelphia,8403027,807343,484,9.60776396410484,100.02809377462205,484,Media (100-109)
Phoenix (Prescott),5971538,576753,234,9.658366069176818,100.55492104996348,234,Media (100-109)
Pittsburgh,2961047,269525,415,9.102354673870424,94.766190165519,415,Media-Baja (90-99)
"Portland, OR",3640037,330435,275,9.077792341121807,94.51046746743012,275,Media-Baja (90-99)
Portland-Auburn,1073233,84808,237,7.902105134672527,82.27018444468945,237,Baja (<90)
Presque Isle,62680,4513,33,7.200063816209318,74.96111075186586,33,Baja (<90)
Providence-New Bedford,1567233,150573,97,9.60756951901855,100.02606937316942,97,Media (100-109)
Quincy-Hannibal-Keokuk,230776,20697,106,8.968436925850174,93.3719493091551,106,Media-Baja (90-99)
Raleigh-Durham (Fayetvlle),3326007,332899,173,10.008968712332836,104.20510585865202,173,Media (100-109)
Rapid City,265310,23340,92,8.79725604010403,91.58975547552114,92,Media-Baja (90-99)
Reno,814456,72873,63,8.947444674727672,93.15339534887183,63,Media-Baja (90-99)
Richmond-Petersburg,1575884,150306,169,9.537884768168215,99.3005693693433,169,Media-Baja (90-99)
Roanoke-Lynchburg,1065540,106678,176,10.011637291889558,104.23288890235938,176,Media (100-109)
"Rochester, NY",1064071,102224,103,9.606877736542016,100.01886710605577,103,Media (100-109)
Rochestr-Mason City-Austin,436806,37481,121,8.580697151595903,89.33512340000918,121,Baja (<90)
Rockford,483509,42264,65,8.741098924735631,91.00509402638804,65,Media-Baja (90-99)
Sacramnto-Stkton-Modesto,4548545,431721,245,9.491408791162888,98.81669992755387,245,Media-Baja (90-99)
Salisbury,457155,36553,64,7.995756362721615,83.24520359132973,64,Baja (<90)
Salt Lake City,3619385,412570,271,11.398897879059563,118.67589901602503,271,Media-Alta (110-119)
San Angelo,144413,14344,34,9.932623794256749,103.41026570093565,34,Media (100-109)
San Antonio,2794006,288872,160,10.338989966378024,107.64101426258273,160,Media (100-109)
San Diego,3229836,325395,104,10.074660137542587,104.88903065797255,104,Media (100-109)
San Francisco-Oak-San Jose,7795853,697779,301,8.95064337411185,93.18669756186881,301,Media-Baja (90-99)
Santabarbra-Sanmar-Sanluob,702245,79190,37,11.276691183276492,117.40358395173476,37,Media-Alta (110-119)
Savannah,1046581,108438,95,10.36116650311825,107.87189802543693,95,Media (100-109)
Seattle-Tacoma,5752672,515971,303,8.969240728482347,93.38031783750027,303,Media-Baja (90-99)
Sherman-Ada,321626,29359,69,9.128304303756538,95.03635625425335,69,Media-Baja (90-99)
