DMA,Total Population,Total Female GenZ,Zip,Real_GenZ_Percentage,Index_vs_National,ZIP_Density,Market_Category
Joplin-Pittsburg,456805,43267,121,9.47165639605521,98.6110543228652,26.48832652882521,Below Average Potential
Juneau,55658,4848,5,8.710338136476338,90.68483813499878,8.983434546695893,Below Average Potential
Kansas City,2564314,247125,321,9.637080326356289,100.3333114968074,12.517967768377819,Standard Potential - Major Market
Knoxville,1503459,133190,153,8.858904699097216,92.23159033594122,10.176532915097784,Below Average Potential
La Crosse-Eau Claire,458750,44478,98,9.695476839237058,100.94128770109091,21.362397820163487,Below Average Potential
"Lafayette, IN",120544,14168,11,11.753384656225114,122.36652221624671,9.125298646137509,High Potential - Niche Market
"Lafayette, LA",720861,66799,60,9.266557630389215,96.4757355700581,8.3233799581334,Below Average Potential
Lake Charles,235584,22296,25,9.464140179299104,98.53280168912868,10.611926107036131,Below Average Potential
Lansing,658069,73145,65,11.115095833415644,115.72118679149916,9.87738367861121,Medium-High Potential - Large Market
Laredo,286005,34169,10,11.946993933672488,124.38222191833104,3.4964423698886384,High Potential - Large Market
Las Vegas,2429777,227686,76,9.37065417937531,97.55950276110251,3.127859058670816,Below Average Potential
Lexington,1233795,122698,175,9.944763919451773,103.53665864584775,14.183879817960033,Standard Potential - Major Market
Lima,101646,8818,11,8.675206107471027,90.3190724995226,10.821871987092457,Below Average Potential
Lincoln & Hastings-Krny,742358,74122,317,9.984670468965108,103.95213264082253,42.70176922724615,Below Average Potential
Little Rock-Pine Bluff,1432694,135224,245,9.438442542510822,98.26525914415694,17.10065094151298,Below Average Potential
Los Angeles,18151504,1844169,536,10.159868846129775,105.77615327305938,2.9529233500430596,Standard Potential - Major Market
Louisville,1895697,171889,203,9.067324577714688,94.40148577058474,10.708462375580064,Below Average Potential
Lubbock,472532,55703,67,11.788196354955854,122.72895283778382,14.17893391347041,High Potential - Large Market
Macon,767220,72304,97,9.424154740491646,98.1165063640567,12.643048929902767,Below Average Potential
Madison,1037872,105775,124,10.191526508085776,106.10574667175766,11.947523394021614,Standard Potential - Major Market
Mankato,109697,13592,20,12.390493814780715,128.9995759522424,18.23203916242012,High Potential - Niche Market
Marquette,212187,17933,70,8.451507396777371,87.99010649930385,32.98976845895366,Below Average Potential
Medford-Klamath Falls,478393,36531,71,7.636190328871868,79.50169937052819,14.841354284030075,Below Average Potential
Memphis,1821175,179650,178,9.864510549507873,102.70112691916613,9.773909701154475,Standard Potential - Major Market
Meridian,144476,13740,37,9.510230072814863,99.01265154887554,25.60978986129184,Below Average Potential
Miami-Ft. Lauderdale,4791859,426731,141,8.905332982460461,92.71496323096696,2.9424905866387134,Below Average Potential
Milwaukee,2411104,226801,166,9.40652083029185,97.93291667246264,6.884812932167173,Below Average Potential
Minneapolis-St. Paul,5166592,482447,587,9.337818817510653,97.21764812479043,11.361454513923297,Below Average Potential
Missoula,342271,29230,58,8.540016536604037,88.91159047534342,16.945636644647077,Below Average Potential
Mobile-Pensacola (Ft Walt),1549864,139732,141,9.015758802062633,93.8646255540187,9.097572432161789,Below Average Potential
Monroe-El Dorado,437113,44105,76,10.090068243223147,105.04944711342073,17.38680844541343,Below Average Potential
Monterey-Salinas,624223,64657,41,10.357997061947414,107.83890042476376,6.568165543403559,Below Average Potential
Montgomery-Selma,539192,53504,80,9.922995890146739,103.31002792461565,14.837015385984955,Below Average Potential
Myrtle Beach-Florence,709316,61482,49,8.667786994794985,90.24183083317274,6.908063542906124,Below Average Potential
Nashville,3191224,319460,243,10.010579012942996,104.2218709770542,7.614633131362763,Standard Potential - Major Market
